from,to
Lohuis,Set-up 65
Lohuis,Talent Team Papendal
Lohuis,Eurosped Almelo
Lohuis,Coolen Alterno
Lohuis,USC Muenster
Lohuis,MTV
Lohuis,DE
Todorova,RC Cannes
Todorova,Volero Le Cannet
Todorova,Volero Zuerich
Todorova,Le Cannet Volley Ball
Todorova,SmAesch Pfeffingen
Todorova,VC Maritza
Todorova,MTV
Todorova,DE
Timmerman,Talentteam Papendal
Timmerman,Alterno Apeldoorn
Timmerman,Eurosped Twente
Timmerman,Ladies in Black Aachen
Timmerman,MTV
Timmerman,DE
Kohn,VfB Ulm
Kohn,Olympiastützpunkt Stuttgart
Kohn,Bundesstützpunkt Stuttgart
Kohn,MTV
Kohn,DE
Van de Vyver,Asterix Kieldrecht
Van de Vyver,RC Cannes
Van de Vyver,Il Bisonte Firenze
Van de Vyver,Calcit Ljubljana
Van de Vyver,Rote Raben Vilsbiburg
Van de Vyver,CSM Targoviste
Van de Vyver,MTV
Van de Vyver,DE
Nowicka,Grot Bundowlani Lodz
Nowicka,BKS Profi Credit Bielsko-Biala
Nowicka,KS Palac Bydgoszcz U20
Nowicka,SMS PZPS Szczyrk
Nowicka,MTV
Nowicka,DE
Lee,Kurobe AquaFairies
Lee,Beylikduezue
Lee,Imoco Volley Conegliano
Lee,Penne State University
Lee,MTV
Lee,DE
Palleres,Banca Valsabbina Millenium Brescia
Palleres,Dresdner SC 1898
Palleres,Bosca San Bernardo Cuneo
Palleres,Saugella Team Monza
Palleres,Delta Informatica Trentino
Palleres,Geovillage Hermanea Olbia
Palleres,CV Barcelona
Palleres,MTV
Palleres,DE
Jasper,VfB Suhl Lotto Thüringen
Jasper,VC Sneek
Jasper,MTV
Jasper,DE
Dornheim,Allianz MTV Stuttgart II
Dornheim,Bundesstützpunkt Stuttgart
Dornheim,MTV
Dornheim,DE
Rivers,University of Alabama
Rivers,Beziers Angels
Rivers,Luka Bar (MNE)
Rivers,MTV
Rivers,DE
Berger,FV Tübingen Modell
Berger,BSP MTV Stuttgart
Berger,VCO Berlin
Berger,MTV
Berger,DE
Koskelo,OK Nova KBM Branik
Koskelo,LP Viesti
Koskelo,LP Kangasala
Koskelo,Haemeenlinnan Lentopallokerho
Koskelo,Kimmo
Koskelo,Someron Pallo
Koskelo,MTV
Koskelo,DE
Grundt,Jugend MTV Stuttgart
Grundt,Bundesstützpunkt Stuttgart
Grundt,MTV
Grundt,DE