id,handle,followers_count,friends_count,isProxy
0,"derspiegel",2778503,317,0
1,"focusonline",583960,102,0
2,"zeitonline",2338728,41,0
3,"tagesschau",2986035,317,0
4,"welt",1474909,238,0
5,"ARTEfr",1297180,2069,0
6,"amnesty_de",216857,902,0
7,"SZ_TopNews",226638,82,0
8,"faznet",650409,318,0
9,"freefm",929,155,0
10,"janboehm",2255536,1817,0
11,"ntvde",697553,33897,0
12,"WDRaktuell",418386,645,0
13,"Tagesspiegel",438551,1508,0
14,"ARTEde",319237,1196,0
15,"SamiSlimani",842184,481,0
16,"ArianaGrande",82862622,56680,0
17,"dpa",379564,1609,0
18,"pr_magazin",8960,1,0
19,"ZDF",1286546,404,0
20,"LamiyaSlimani",304295,266,0
21,"DouniaSlimani",260445,44,0
22,"SZ",1706596,422,0
23,"kittischnitti",382111,91,0
24,"hdm_stgt",4081,49,0
25,"DLF",260970,663,0
26,"IschtarIsik",414414,168,0
27,"MarioGoetze",4297735,234,0
28,"AnitaAgarwalla",114,240,0
29,"sandhu_hdm",555,13,0
30,"dagibee",1956971,137,0
31,"methodenkritik",2564,1774,0
32,"DIEZEIT",416283,1260,0
33,"ZDFheute",731954,318,0
34,"TnglTngl",60,426,0
35,"annamaria",263388,165,0
36,"MelinaSophie",1547915,89,0
37,"tagesthemen",412030,536,0
38,"stufetv",75,59,0
39,"DoertheBi",220668,8508,0
40,"ShirinDavid",1399981,27,0
41,"pr_parcours",472,5,0
42,"julia_weise",80,117,0
43,"corinna_pretzer",4,19,0
44,"christantinium",50,92,0
45,"LuisBracht",163,525,0
46,"janafeinsinnig",41,124,0
47,"suedbadendigi",362,97,0
48,"Patchar57949560",11,21,0
49,"AninaKemmerlin1",4,11,0
50,"horads",77,104,0
51,"3vierteltrocken",3,1,0
52,"hdm_praktisch",222,28,0
53,"j_armbruster1",20,193,0
54,"edit_magazin",384,222,0
55,"hdm_crpr",216,56,0